,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
198,220,2010,22.87,1.37,2.38,10.12,14.08,0.09,0.0,7.94,7.94,11.74,7.0,1.37,37:37,3.58
199,1593,2010,12.77,2.02,2.58,8.02,11.08,0.06,0.0,5.65,5.65,3.34,1.48,0.72,35:20,1.92
200,1700,2010,21.42,1.8,0.7,4.08,5.2,3.38,1.17,7.95,7.95,5.3,4.35,0.52,35:39,2.3
201,401,2010,25.01,7.69,0.63,3.07,4.07,4.75,1.58,8.78,8.78,6.85,5.88,1.05,37:21,3.43
202,189,2010,22.5,3.8,0.55,8.77,12.06,0.29,0.09,8.49,8.49,8.48,5.44,0.77,37:56,2.72
203,1089,2011,15.43,2.28,1.52,7.07,8.97,0.07,0.0,6.22,6.22,4.29,2.98,0.66,28:10,1.67
204,1247,2011,10.98,1.62,1.62,4.73,7.15,0.02,0.0,4.78,4.78,1.93,1.42,0.97,28:52,1.08
205,1281,2011,5.17,0.43,1.02,3.14,4.31,0.31,0.07,2.31,2.31,1.29,0.48,1.05,22:22,0.76
206,1368,2011,6.33,0.44,0.0,4.56,6.33,0.0,0.0,2.33,2.33,3.78,1.67,0.89,20:46,1.56
207,237,2011,27.15,6.24,0.81,6.42,7.94,2.4,0.87,10.02,10.02,8.1,6.24,1.85,37:31,3.44
208,220,2011,20.61,1.93,2.15,10.83,14.54,0.13,0.0,7.7,7.7,10.59,5.2,1.5,38:19,3.24
