Player ID,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
127,810,1994,17.7,3.61,1.41,6.79,10.32,0.29,0.09,7.24,7.24,5.27,3.12,1.05,40:59,2.7
128,806,1994,12.24,2.01,0.58,3.16,4.81,1.85,0.63,4.69,4.69,3.44,2.24,1.19,26:46,2.16
129,835,1994,7.48,3.79,0.17,1.21,1.79,2.57,0.86,2.83,2.83,1.31,0.95,1.21,22:28,1.88
130,907,1994,21.94,2.46,0.28,4.3,6.41,3.35,1.08,7.95,7.95,6.24,4.96,1.44,36:58,3.91
131,908,1994,11.67,7.68,0.3,3.52,5.44,3.25,0.89,4.18,4.18,3.48,2.43,1.91,33:46,3.16
132,879,1994,19.91,5.04,0.89,4.57,6.36,0.39,0.06,7.26,7.26,7.3,5.34,1.77,38:15,2.89
133,877,1994,12.58,1.46,1.22,3.72,5.63,3.38,0.96,4.79,4.79,3.08,2.04,0.63,28:58,1.6
134,922,1994,16.98,2.54,0.23,5.55,8.38,0.11,0.0,7.0,7.0,4.49,2.98,0.8,36:07,2.55
135,899,1994,11.44,0.61,1.32,3.56,5.97,0.1,0.0,4.57,4.57,3.57,2.3,0.47,25:52,1.91
136,884,1994,14.1,1.64,0.68,2.74,4.37,2.69,0.8,5.42,5.42,3.26,2.46,0.89,31:33,2.01
137,892,1994,13.23,1.24,1.45,4.89,7.48,0.05,0.01,5.16,5.16,4.54,2.89,0.61,28:36,2.04
138,887,1994,10.01,0.46,0.78,4.74,7.26,0.01,0.0,3.94,3.94,3.37,2.14,0.37,29:40,1.44
139,881,1994,14.02,2.0,0.64,2.66,3.89,3.84,1.42,5.34,5.34,2.64,1.91,2.05,30:57,1.17
140,2895,1995,11.18,2.82,0.91,5.36,6.55,1.91,0.64,4.36,4.36,2.91,1.82,0.36,26:43,2.55
141,2968,1995,19.3,7.51,0.23,2.9,4.19,3.69,1.21,7.63,7.63,3.78,2.83,2.85,39:02,3.21
142,3023,1995,19.21,6.82,0.05,1.96,2.42,5.42,2.12,7.26,7.26,2.75,2.56,1.12,35:35,2.02
143,531,1995,17.45,2.96,0.35,3.0,3.77,7.66,3.26,5.99,5.99,2.71,2.22,1.1,37:05,1.49
144,2952,1995,13.96,5.53,0.51,3.4,4.94,1.68,0.55,5.23,5.23,3.74,2.94,1.36,35:48,2.79
145,616,1995,5.58,0.15,0.76,2.9,4.31,0.0,0.0,2.06,2.06,2.13,1.46,0.28,17:50,1.08
146,2919,1995,4.56,1.54,0.37,1.93,2.69,0.94,0.35,1.59,1.59,1.39,1.02,0.57,15:00,0.94
